序号,网址,发帖大类,发帖小类,发帖标题
47,http://bbs.cehome.com/thread-615417-1-1.html,挖掘机专区,选购询价,求购挖掘机,[13-20吨],,,
48,http://bbs.cehome.com/thread-615353-1-1.html,挖掘机专区,选购询价,求购小挖机,[6-12吨],,,
49,http://bbs.cehome.com/thread-615342-1-1.html,挖掘机专区,选购询价,山东地区求购55.60小挖。20万左右。贩子勿,[6-12吨],,,
50,http://bbs.cehome.com/thread-615338-1-1.html,挖掘机专区,选购询价,求购150以上挖掘机,[13-20吨],,,
51,http://bbs.cehome.com/thread-615307-1-1.html,挖掘机专区,选购询价,求购320,[21-30吨],,,
52,http://bbs.cehome.com/thread-615276-1-1.html,挖掘机专区,选购询价,年前急需购买挖机！最好现代、斗山,[21-30吨],,,
53,http://bbs.cehome.com/thread-615254-1-1.html,挖掘机专区,选购询价,收台15－20万左右的机,[13-20吨],,,
54,http://bbs.cehome.com/thread-615245-1-1.html,挖掘机专区,选购询价,求购小挖安徽合肥附近的,[6-12吨],,,
55,http://bbs.cehome.com/thread-615218-1-1.html,挖掘机专区,选购询价,求购10吨左右进口挖机,[13-20吨],,,
56,http://bbs.cehome.com/thread-615196-1-1.html,挖掘机专区,我爱我挖,求购70   75车子,[提车作业],,,
57,http://bbs.cehome.com/thread-615171-1-1.html,挖掘机专区,选购询价,求购70 或80挖机，江西附近,[6-12吨],,,
58,http://bbs.cehome.com/thread-615139-1-1.html,挖掘机专区,选购询价,求购65-85的挖掘机15万以下的。,[6-12吨],,,
59,http://bbs.cehome.com/thread-615137-1-1.html,挖掘机专区,选购询价,收台十万左右卡特70B，可操作,[6-12吨],,,
60,http://bbs.cehome.com/thread-615707-1-1.html,挖掘机专区,选购询价,个人求购小松130自己用的，,[13-20吨],,,
61,http://bbs.cehome.com/thread-615687-1-1.html,挖掘机专区,选购询价,寻找多台现代130-5的,[13-20吨],,,
62,http://bbs.cehome.com/thread-615660-1-1.html,挖掘机专区,选购询价,求购120～150机机,[13-20吨],,,
63,http://bbs.cehome.com/thread-615637-1-1.html,挖掘机专区,我爱我挖,想买个二手50或60的小挖。,[操作技巧],,,
64,http://bbs.cehome.com/thread-615610-1-1.html,挖掘机专区,选购询价,求购150,[13-20吨],,,
65,http://bbs.cehome.com/thread-615578-1-1.html,挖掘机专区,我爱我挖,求购轮式挖掘机,[提车作业],,,
66,http://bbs.cehome.com/thread-615971-1-1.html,挖掘机专区,选购询价,本人有台60的，想买个75一80的,[6-12吨],,,
67,http://bbs.cehome.com/thread-615912-1-1.html,我与工程机械,故障咨询,求购现代150，20万左右的机子，,[漏油/漏水],,,
68,http://bbs.cehome.com/thread-615895-1-1.html,挖掘机专区,选购询价,求购120,[6-12吨],,,
69,http://bbs.cehome.com/thread-615857-1-1.html,挖掘机专区,选购询价,收一台60-80的小挖价格15以内,[6-12吨],,,
70,http://bbs.cehome.com/thread-615818-1-1.html,挖掘机专区,选购询价,求购60一80机子牌子不限！,[6-12吨],,,
71,http://bbs.cehome.com/thread-615797-1-1.html,挖掘机专区,选购询价,购车,[6-12吨],,,
72,http://bbs.cehome.com/thread-616435-1-1.html,挖掘机专区,选购询价,我是榆次的，想买个小挖干！,[6-12吨],,,
73,http://bbs.cehome.com/thread-616421-1-1.html,挖掘机专区,选购询价,求购二字头挖机,[21-30吨],,,
74,http://bbs.cehome.com/thread-616389-1-1.html,
75,http://bbs.cehome.com/thread-616377-1-1.html,铁甲娱乐,志同道合,想买二手80,[铁甲人的一天],,,
76,http://bbs.cehome.com/thread-616366-1-1.html,挖掘机专区,选购询价,求购200大挖，30万左右,[21-30吨],,,
77,http://bbs.cehome.com/thread-616286-1-1.html,挖掘机专区,我爱我挖,需要购买二台PC120-6机子,[使用报告],,,
78,http://bbs.cehome.com/thread-616275-1-1.html,挖掘机专区,选购询价,求购,[机型对比],,,
79,http://bbs.cehome.com/thread-616247-1-1.html,挖掘机专区,选购询价,求购120～150,[13-20吨],,,
80,http://bbs.cehome.com/thread-616238-1-1.html,挖掘机专区,选购询价,本人像买台小松200-7或220-7的车况好点的有车的朋友发图 ...,[机型对比],,,
81,http://bbs.cehome.com/thread-616236-1-1.html,挖掘机专区,选购询价,求购350机型   最好是斗山   两年左右的车,[30吨以上],,,
82,http://bbs.cehome.com/thread-616230-1-1.html,挖掘机专区,我爱我挖,急购日立70，神钢75—8,[使用报告],,,
83,http://bbs.cehome.com/thread-617109-1-1.html,挖掘机专区,选购询价,求购20顿的挖机一台,[21-30吨],,,
84,http://bbs.cehome.com/thread-617090-1-1.html,挖掘机专区,我爱我挖,求购中型挖掘机？,[维修改装],,,
85,http://bbs.cehome.com/thread-617087-1-1.html,挖掘机专区,杂谈图库,求购12-16吨个人干活车！,[生活杂谈],,,
86,http://bbs.cehome.com/thread-617084-1-1.html,挖掘机专区,选购询价,求购斗山20吨左右～7系列纯土方车,[21-30吨],,,
87,http://bbs.cehome.com/thread-617080-1-1.html,挖掘机专区,选购询价,求购,[21-30吨],,,
88,http://bbs.cehome.com/thread-617065-1-1.html,挖掘机专区,选购询价,求购日立60,[6-12吨],,,
89,http://bbs.cehome.com/thread-617024-1-1.html,挖掘机专区,选购询价,求购370挖掘机一台,[机型对比],,,
90,http://bbs.cehome.com/thread-617003-1-1.html,我与工程机械,装载机,准备购13年临工953！,[提车作业],,,
91,http://bbs.cehome.com/thread-616916-1-1.html,挖掘机专区,杂谈图库,求购日立70小松60.70神钢75,[原创实拍],,,
92,http://bbs.cehome.com/thread-616892-1-1.html,挖掘机专区,我爱我挖,收一台3000小时左右的加藤1430，没有打过炮锤的。,[提车作业],,,
93,http://bbs.cehome.com/thread-616820-1-1.html,挖掘机专区,杂谈图库,求购小松200-7或日立-3g的车有车的朋友发图看看。,[生活杂谈],,,
94,http://bbs.cehome.com/thread-616769-1-1.html,挖掘机专区,选购询价,三一75-9,[6-12吨],,,
95,http://bbs.cehome.com/thread-616732-1-1.html,挖掘机专区,选购询价,求购小机,[6-12吨],,,
96,http://bbs.cehome.com/thread-616703-1-1.html,挖掘机专区,选购询价,求购20吨挖机,[13-20吨],,,
97,http://bbs.cehome.com/thread-616686-1-1.html,挖掘机专区,选购询价,求购,[21-30吨],,,
98,http://bbs.cehome.com/thread-616636-1-1.html,挖掘机专区,选购询价,求购60机11年后的品牌不限！,[6-12吨],,,
99,http://bbs.cehome.com/thread-616628-1-1.html,挖掘机专区,选购询价,求购二十吨挖机,[21-30吨],,,
